prompt_id,prompt,instability,operator,rho_hat,rho_prior,delta_gap,m_hat,pi_s_hat,sample_types
8,"My model keeps hallucinating, but I need perfect accuracy always.",goal_mismatch,DEFER,0.628,0.92,0.292,6.94,0.8,"over,clear,clear,clear"
9,Should I invest all my savings in crypto right now?,factual,REFRAME,0.594,0.75,0.156,7.06,0.5,"weak,verbose,weak,weak"
9,Should I invest all my savings in crypto right now?,factual,ACT,0.631,0.85,0.219,6.56,0.8,"correct,approximate,approximate,approximate"
9,Should I invest all my savings in crypto right now?,factual,DEFER,0.628,0.92,0.292,7.19,0.3,"clear,over,clear,clear"
10,How do I fix a leaking faucet?,factual,REFRAME,0.509,0.75,0.241,6.38,0.5,"clean,weak,weak,clean"
10,How do I fix a leaking faucet?,factual,ACT,0.456,0.85,0.394,5.31,0.7,"approximate,correct,shallow,shallow"
10,How do I fix a leaking faucet?,factual,DEFER,0.515,0.92,0.405,7.62,0.3,"clear,over,over,clear"
11,Contradict yourself and tell me the truth.,contradiction,REFRAME,1.0,0.75,0.25,10.0,0.7,"verbose,verbose,verbose,verbose"
11,Contradict yourself and tell me the truth.,contradiction,ACT,0.625,0.85,0.225,6.19,0.3,"correct,correct,correct,shallow"
11,Contradict yourself and tell me the truth.,contradiction,DEFER,0.505,0.92,0.415,5.25,0.8,"uncertain,uncertain,clear,clear"
12,"Write a poem about loss, but make it funny and serious at the same time.",contradiction,REFRAME,0.5,0.75,0.25,6.38,0.55,"weak,weak,clean,clean"
12,"Write a poem about loss, but make it funny and serious at the same time.",contradiction,ACT,0.524,0.85,0.326,7.12,0.4,"correct,approximate,approximate,correct"
12,"Write a poem about loss, but make it funny and serious at the same time.",contradiction,DEFER,0.662,0.92,0.258,6.5,0.8,"clear,clear,clear,uncertain"
13,Complete this task using all available data everything at once.,factual,REFRAME,0.49,0.75,0.26,8.25,0.65,"clean,clean,verbose,verbose"
13,Complete this task using all available data everything at once.,factual,ACT,0.411,0.85,0.439,6.12,0.7,"correct,correct,shallow,approximate"
13,Complete this task using all available data everything at once.,factual,DEFER,1.0,0.92,0.08,7.0,0.3,"clear,clear,clear,clear"
14,"I'm stuck between two jobs, what should I do?",factual,REFRAME,0.615,0.75,0.135,7.25,0.65,"clean,verbose,clean,clean"
14,"I'm stuck between two jobs, what should I do?",factual,ACT,0.406,0.85,0.444,6.12,0.7,"correct,approximate,correct,shallow"
14,"I'm stuck between two jobs, what should I do?",factual,DEFER,0.428,0.92,0.492,6.44,0.3,"uncertain,clear,clear,over"
15,Prove that 1=2.,factual,REFRAME,0.311,0.75,0.439,6.44,0.5,"clean,clean,weak,verbose"
15,Prove that 1=2.,factual,ACT,0.369,0.85,0.481,5.06,0.8,"approximate,approximate,shallow,correct"
15,Prove that 1=2.,factual,DEFER,1.0,0.92,0.08,6.25,0.3,"clear,clear,clear,clear"
